run_name,backbone,condition,snr_db,accuracy,macro_f1
mamba_run1,mamba,clean,,0.945054945054945,0.9449882052990666
mamba_run1,mamba,mild,20,0.6575091575091575,0.6480182369838356
mamba_run1,mamba,moderate,10,0.15964590964590963,0.08467881584502729
mamba_run1,mamba,strong,0,0.14041514041514042,0.048674292148950346
gru_run1,gru,clean,,0.9398656898656899,0.9395432071480819
gru_run1,gru,mild,20,0.8195970695970696,0.8197453389308665
gru_run1,gru,moderate,10,0.2863247863247863,0.200003132938176
gru_run1,gru,strong,0,0.13247863247863248,0.041302957906605785
